device_imei,customer_id,brand,model,os,sim_count
IMEI_000000000000087,4808-YNLEU,Oppo,Oppo-Zj33,Android,2
IMEI_000000000000088,1862-QRWPE,Xiaomi,Xiaomi-SQ67,Android,1
IMEI_000000000000089,2796-NNUFI,Samsung,Samsung-VX61,Android,1
IMEI_000000000000090,3016-KSVCP,Oppo,Oppo-UP69,Android,2
IMEI_000000000000091,4767-HZZHQ,Oppo,Oppo-Yu02,Android,2
IMEI_000000000000092,2424-WVHPL,Xiaomi,Xiaomi-NA73,Android,1
IMEI_000000000000093,7233-PAHHL,Xiaomi,Xiaomi-Di22,Android,2
IMEI_000000000000094,6067-NGCEU,Huawei,Huawei-MI07,Android,1
IMEI_000000000000095,9848-JQJTX,Apple,Apple-gt20,iOS,1
IMEI_000000000000096,8637-XJIVR,Oppo,Oppo-MR45,Android,2
IMEI_000000000000097,9803-FTJCG,Samsung,Samsung-DF81,Android,2
IMEI_000000000000098,0278-YXOOG,Huawei,Huawei-Sc93,Android,1
IMEI_000000000000099,3212-KXOCR,Oppo,Oppo-zk62,Android,2
IMEI_000000000000100,4598-XLKNJ,Nokia,Nokia-Vv45,Android,1
IMEI_000000000000101,6380-ARCEH,Samsung,Samsung-TC89,Android,2
IMEI_000000000000102,3679-XASPY,Samsung,Samsung-Ge71,Android,1
IMEI_000000000000103,7123-WQUHX,Apple,Apple-mb43,iOS,2
IMEI_000000000000104,5386-THSLQ,Apple,Apple-zt47,iOS,1
IMEI_000000000000105,3192-NQECA,Apple,Apple-Br01,iOS,2
IMEI_000000000000106,6180-YBIQI,Huawei,Huawei-Rq07,Android,2
IMEI_000000000000107,6728-DKUCO,Huawei,Huawei-QI69,Android,1
IMEI_000000000000108,9750-BOOHV,Samsung,Samsung-nP96,Android,2
IMEI_000000000000109,8597-CWYHH,Nokia,Nokia-jx79,Android,1
IMEI_000000000000110,2848-YXSMW,Oppo,Oppo-Gu25,Android,1
IMEI_000000000000111,0486-HECZI,Huawei,Huawei-vt88,Android,2
IMEI_000000000000112,4549-ZDQYY,Samsung,Samsung-Uh28,Android,2
IMEI_000000000000113,5712-AHQNN,Apple,Apple-gt23,iOS,2
IMEI_000000000000114,4846-WHAFZ,Samsung,Samsung-nj66,Android,1
IMEI_000000000000115,5256-SKJGO,Oppo,Oppo-lk83,Android,1
IMEI_000000000000116,3071-VBYPO,Xiaomi,Xiaomi-FD15,Android,1
IMEI_000000000000117,9560-BBZXK,Apple,Apple-uz71,iOS,2
IMEI_000000000000118,5299-RULOA,Huawei,Huawei-ZT59,Android,2
IMEI_000000000000119,8402-OOOHJ,Nokia,Nokia-me38,Android,2
IMEI_000000000000120,9445-ZUEQE,Apple,Apple-ki56,iOS,1
IMEI_000000000000121,1091-SOZGA,Apple,Apple-zd62,iOS,2
IMEI_000000000000122,2928-HLDBA,Huawei,Huawei-SB41,Android,1
IMEI_000000000000123,0404-SWRVG,Oppo,Oppo-yA42,Android,2
IMEI_000000000000124,6497-TILVL,Xiaomi,Xiaomi-jd08,Android,2
IMEI_000000000000125,7219-TLZHO,Oppo,Oppo-JY84,Android,1
IMEI_000000000000126,4622-YNKIJ,Huawei,Huawei-GA59,Android,1
IMEI_000000000000127,4412-YLTKF,Oppo,Oppo-zB47,Android,2
IMEI_000000000000128,6734-PSBAW,Nokia,Nokia-jK71,Android,2
IMEI_000000000000129,3930-ZGWVE,Huawei,Huawei-Xn87,Android,1
IMEI_000000000000130,2639-UGMAZ,Oppo,Oppo-IF75,Android,1
IMEI_000000000000131,2876-GZYZC,Apple,Apple-Os11,iOS,1
IMEI_000000000000132,6207-WIOLX,Xiaomi,Xiaomi-Zc79,Android,2
IMEI_000000000000133,8587-XYZSF,Nokia,Nokia-iO17,Android,2
IMEI_000000000000134,3091-FYHKI,Xiaomi,Xiaomi-tk51,Android,1
IMEI_000000000000135,2372-HWUHI,Oppo,Oppo-Uw28,Android,1
IMEI_000000000000136,7799-LGRDP,Samsung,Samsung-Mn16,Android,2
IMEI_000000000000137,7850-VWJUU,Oppo,Oppo-uJ02,Android,1
IMEI_000000000000138,3774-VBNXY,Xiaomi,Xiaomi-mC45,Android,2
IMEI_000000000000139,6217-KDYWC,Oppo,Oppo-lU40,Android,1
IMEI_000000000000140,0390-DCFDQ,Oppo,Oppo-wh85,Android,2
IMEI_000000000000141,3146-MSEGF,Samsung,Samsung-Gv61,Android,1
IMEI_000000000000142,4080-OGPJL,Xiaomi,Xiaomi-KR32,Android,2
IMEI_000000000000143,1095-WGNGG,Oppo,Oppo-Vk13,Android,1
IMEI_000000000000144,2636-SJDOU,Oppo,Oppo-wx18,Android,1
IMEI_000000000000145,1131-QQZEB,Oppo,Oppo-nj31,Android,1
IMEI_000000000000146,5716-EZXZN,Apple,Apple-Ln63,iOS,1
IMEI_000000000000147,6837-BJYDQ,Samsung,Samsung-De68,Android,2
IMEI_000000000000148,2135-RXIHG,Huawei,Huawei-id99,Android,2
IMEI_000000000000149,6440-DKQGE,Huawei,Huawei-Pu71,Android,2
IMEI_000000000000150,3466-BYAVD,Oppo,Oppo-nl22,Android,1
IMEI_000000000000151,3780-YVMFA,Oppo,Oppo-bs05,Android,2
IMEI_000000000000152,3874-EQOEP,Huawei,Huawei-jC39,Android,2
IMEI_000000000000153,1679-JRFBR,Oppo,Oppo-rV85,Android,2
IMEI_000000000000154,9073-ZZIAY,Oppo,Oppo-Wl61,Android,1
IMEI_000000000000155,3077-RSNTJ,Oppo,Oppo-lt66,Android,1
IMEI_000000000000156,6551-GNYDG,Apple,Apple-kx91,iOS,1
IMEI_000000000000157,9167-APMXZ,Oppo,Oppo-Gq57,Android,1
IMEI_000000000000158,2749-CTKAJ,Nokia,Nokia-lc15,Android,1
IMEI_000000000000159,6371-NZYEG,Oppo,Oppo-Dc41,Android,1
IMEI_000000000000160,7554-NEWDD,Nokia,Nokia-Th04,Android,1
IMEI_000000000000161,8992-VONJD,Nokia,Nokia-TQ67,Android,2
IMEI_000000000000162,0867-MKZVY,Apple,Apple-dJ67,iOS,1
IMEI_000000000000163,4482-EWFMI,Oppo,Oppo-Ql06,Android,2
IMEI_000000000000164,4648-YPBTM,Huawei,Huawei-pn68,Android,2
IMEI_000000000000165,2907-ILJBN,Huawei,Huawei-xc75,Android,2
IMEI_000000000000166,6345-FZOQH,Xiaomi,Xiaomi-Ox00,Android,2
IMEI_000000000000167,3376-BMGFE,Samsung,Samsung-qP01,Android,1
IMEI_000000000000168,5997-OPVFA,Nokia,Nokia-zA96,Android,1
IMEI_000000000000169,3445-HXXGF,Apple,Apple-HJ55,iOS,2
IMEI_000000000000170,1159-WFSGR,Nokia,Nokia-rS15,Android,2
IMEI_000000000000171,7654-YWJUF,Nokia,Nokia-Nv52,Android,2
IMEI_000000000000172,1875-QIVME,Xiaomi,Xiaomi-EG29,Android,2
IMEI_000000000000173,6727-IOTLZ,Nokia,Nokia-Hs32,Android,2
IMEI_000000000000174,0691-JVSYA,Nokia,Nokia-kO53,Android,1
IMEI_000000000000175,5918-VUKWP,Samsung,Samsung-ia27,Android,2
IMEI_000000000000176,1744-JHKYS,Apple,Apple-Yo67,iOS,1
IMEI_000000000000177,2656-FMOKZ,Huawei,Huawei-tu77,Android,2
IMEI_000000000000178,2070-FNEXE,Apple,Apple-bW08,iOS,1
IMEI_000000000000179,5947-SGKCL,Huawei,Huawei-Oj21,Android,1
IMEI_000000000000180,3712-PKXZA,Apple,Apple-mc50,iOS,1
IMEI_000000000000181,6317-YPKDH,Samsung,Samsung-Bg59,Android,1
IMEI_000000000000182,6582-OIVSP,Apple,Apple-hM62,iOS,2
IMEI_000000000000183,9367-WXLCH,Huawei,Huawei-vK23,Android,2
IMEI_000000000000184,5524-KHNJP,Apple,Apple-dW21,iOS,1
IMEI_000000000000185,1918-ZBFQJ,Apple,Apple-Bp04,iOS,2
IMEI_000000000000186,1024-GUALD,Nokia,Nokia-qt73,Android,1
IMEI_000000000000187,4827-USJHP,Oppo,Oppo-zy70,Android,1
IMEI_000000000000188,8167-GJLRN,Nokia,Nokia-HQ49,Android,1
IMEI_000000000000189,0956-SYCWG,Samsung,Samsung-Qx69,Android,1
IMEI_000000000000190,8017-UVSZU,Samsung,Samsung-IL96,Android,2
IMEI_000000000000191,7100-FQPRV,Nokia,Nokia-Qf62,Android,2
IMEI_000000000000192,2472-OVKUP,Nokia,Nokia-OM92,Android,1
IMEI_000000000000193,2984-RGEYA,Samsung,Samsung-pB11,Android,2
IMEI_000000000000194,9680-NIAUV,Xiaomi,Xiaomi-uQ89,Android,2
IMEI_000000000000195,2146-EGVDT,Apple,Apple-Qi20,iOS,2
IMEI_000000000000196,2604-IJPDU,Apple,Apple-Zv76,iOS,2
IMEI_000000000000197,9178-JHUVJ,Oppo,Oppo-ag58,Android,1
IMEI_000000000000198,6168-YBYNP,Apple,Apple-si84,iOS,1
IMEI_000000000000199,7255-SSFBC,Samsung,Samsung-NI58,Android,1
IMEI_000000000000200,3645-DEYGF,Samsung,Samsung-ay94,Android,2
IMEI_000000000000201,9323-HGFWY,Nokia,Nokia-el70,Android,2
IMEI_000000000000202,8544-GOQSH,Nokia,Nokia-Zu26,Android,2
IMEI_000000000000203,3363-DTIVD,Huawei,Huawei-MS36,Android,2
IMEI_000000000000204,7018-WBJNK,Oppo,Oppo-Zm21,Android,1
IMEI_000000000000205,9142-KZXOP,Samsung,Samsung-UP16,Android,1
IMEI_000000000000206,7674-YTAFD,Nokia,Nokia-sp22,Android,1
IMEI_000000000000207,6348-SNFUS,Oppo,Oppo-Ei30,Android,1
IMEI_000000000000208,1285-OKIPP,Oppo,Oppo-YU87,Android,2
IMEI_000000000000209,7825-ECJRF,Nokia,Nokia-NK69,Android,2
IMEI_000000000000210,1347-KTTTA,Huawei,Huawei-QF45,Android,2
IMEI_000000000000211,7841-TZDMQ,Nokia,Nokia-NP69,Android,1
IMEI_000000000000212,4195-NZGTA,Nokia,Nokia-os98,Android,2
IMEI_000000000000213,7157-SMCFK,Oppo,Oppo-Qk22,Android,1
IMEI_000000000000214,4709-LKHYG,Xiaomi,Xiaomi-Ub32,Android,2
IMEI_000000000000215,2504-DSHIH,Oppo,Oppo-QB11,Android,1
IMEI_000000000000216,0699-NDKJM,Huawei,Huawei-FB25,Android,1
IMEI_000000000000217,9286-BHDQG,Huawei,Huawei-DU19,Android,1
IMEI_000000000000218,0230-WEQUW,Huawei,Huawei-xb62,Android,2
IMEI_000000000000219,2040-LDIWQ,Apple,Apple-It30,iOS,2
IMEI_000000000000220,6496-JDSSB,Apple,Apple-dl00,iOS,2
IMEI_000000000000221,9408-SSNVZ,Xiaomi,Xiaomi-iE49,Android,2
IMEI_000000000000222,4443-EMBNA,Xiaomi,Xiaomi-JB44,Android,1
IMEI_000000000000223,6469-MRVET,Apple,Apple-Xl23,iOS,2
IMEI_000000000000224,0742-MOABM,Nokia,Nokia-yZ65,Android,2
IMEI_000000000000225,5961-VUSRV,Xiaomi,Xiaomi-Un51,Android,1
IMEI_000000000000226,6778-JFCMK,Xiaomi,Xiaomi-VD05,Android,2
IMEI_000000000000227,6341-JVQGF,Xiaomi,Xiaomi-NC74,Android,1
IMEI_000000000000228,2232-DMLXU,Oppo,Oppo-ne04,Android,1
IMEI_000000000000229,4811-JBUVU,Huawei,Huawei-yY88,Android,2
IMEI_000000000000230,0945-TSONX,Huawei,Huawei-Hz72,Android,1
IMEI_000000000000231,2651-ZCBXV,Huawei,Huawei-Pc85,Android,2
IMEI_000000000000232,3316-UWXUY,Samsung,Samsung-bp75,Android,1
IMEI_000000000000233,8937-RDTHP,Samsung,Samsung-hq95,Android,1
IMEI_000000000000234,7083-MIOPC,Xiaomi,Xiaomi-jT49,Android,2
IMEI_000000000000235,1984-GPTEH,Huawei,Huawei-RN47,Android,2
IMEI_000000000000236,1251-KRREG,Oppo,Oppo-mF58,Android,1
IMEI_000000000000237,0621-JFHOL,Apple,Apple-tV38,iOS,2
IMEI_000000000000238,9903-LYSAB,Nokia,Nokia-kB80,Android,1
IMEI_000000000000239,0094-OIFMO,Xiaomi,Xiaomi-xv04,Android,1
IMEI_000000000000240,9227-UAQFT,Nokia,Nokia-nD73,Android,1
IMEI_000000000000241,7301-ABVAD,Oppo,Oppo-pE58,Android,1
IMEI_000000000000242,6614-FHDBO,Nokia,Nokia-YU26,Android,2
IMEI_000000000000243,7576-ASEJU,Samsung,Samsung-Eu40,Android,1
IMEI_000000000000244,9058-HRZSV,Apple,Apple-sK64,iOS,2
IMEI_000000000000245,4522-AKYLR,Xiaomi,Xiaomi-Oy32,Android,2
IMEI_000000000000246,0221-WMXNQ,Samsung,Samsung-Az34,Android,1
IMEI_000000000000247,0303-UNCIP,Oppo,Oppo-ax89,Android,1
IMEI_000000000000248,9947-OTFQU,Nokia,Nokia-Kj90,Android,1
IMEI_000000000000249,0322-YINQP,Apple,Apple-hX53,iOS,1
IMEI_000000000000250,0959-WHOKV,Nokia,Nokia-yE74,Android,2
IMEI_000000000000251,4075-JFPGR,Huawei,Huawei-nN26,Android,1
IMEI_000000000000252,4629-NRXKX,Oppo,Oppo-KX37,Android,2
IMEI_000000000000253,9514-JDSKI,Apple,Apple-OZ07,iOS,1
IMEI_000000000000254,3282-ZISZV,Samsung,Samsung-je86,Android,2
IMEI_000000000000255,3675-YDUPJ,Nokia,Nokia-wI12,Android,1
IMEI_000000000000256,4111-BNXIF,Samsung,Samsung-ag03,Android,2
IMEI_000000000000257,7017-VFHAY,Oppo,Oppo-PP37,Android,1
IMEI_000000000000258,6655-LHBYW,Xiaomi,Xiaomi-XY60,Android,1
IMEI_000000000000259,4959-JOSRX,Nokia,Nokia-HY33,Android,2
IMEI_000000000000260,5046-NUHWD,Oppo,Oppo-af45,Android,1
IMEI_000000000000261,7273-TEFQD,Oppo,Oppo-FL34,Android,1
IMEI_000000000000262,3606-TWKGI,Huawei,Huawei-py01,Android,1
IMEI_000000000000263,7529-ZDFXI,Apple,Apple-PR08,iOS,2
IMEI_000000000000264,7605-BDWDC,Nokia,Nokia-uA59,Android,1
IMEI_000000000000265,1950-KSVVJ,Xiaomi,Xiaomi-hn63,Android,2
IMEI_000000000000266,0123-CRBRT,Oppo,Oppo-iX06,Android,2
IMEI_000000000000267,6292-TOSSS,Xiaomi,Xiaomi-cT87,Android,2
IMEI_000000000000268,3197-ARFOY,Samsung,Samsung-Na70,Android,1
IMEI_000000000000269,6323-AYBRX,Huawei,Huawei-KG33,Android,1
IMEI_000000000000270,7014-ZZXAW,Huawei,Huawei-tH96,Android,1
IMEI_000000000000271,4385-GZQXV,Huawei,Huawei-oP56,Android,2
IMEI_000000000000272,7633-MVPUY,Xiaomi,Xiaomi-Md75,Android,1
IMEI_000000000000273,6366-ZGQGL,Huawei,Huawei-lH35,Android,1
IMEI_000000000000274,4716-HHKQH,Oppo,Oppo-ON50,Android,2
IMEI_000000000000275,5940-AHUHD,Apple,Apple-Tg64,iOS,1
IMEI_000000000000276,6432-TWQLB,Huawei,Huawei-hF86,Android,2
IMEI_000000000000277,4484-GLZOU,Oppo,Oppo-Un50,Android,2
IMEI_000000000000278,3179-GBRWV,Huawei,Huawei-Rs73,Android,1
IMEI_000000000000279,8645-KWHJO,Apple,Apple-Io76,iOS,1
IMEI_000000000000280,4130-MZLCC,Oppo,Oppo-uL18,Android,1
IMEI_000000000000281,0314-TKOSI,Apple,Apple-QS50,iOS,1
IMEI_000000000000282,8229-MYEJZ,Huawei,Huawei-MC33,Android,1
IMEI_000000000000283,2080-SRCDE,Apple,Apple-MN16,iOS,1
IMEI_000000000000284,9577-WJVCQ,Xiaomi,Xiaomi-Qc99,Android,2
IMEI_000000000000285,9512-UIBFX,Oppo,Oppo-sQ81,Android,1
IMEI_000000000000286,6202-DYYFX,Nokia,Nokia-Jm00,Android,2
IMEI_000000000000287,3808-HFKDE,Samsung,Samsung-xS64,Android,1
IMEI_000000000000288,5583-SXDAG,Oppo,Oppo-MZ94,Android,2
IMEI_000000000000289,3488-PGMQJ,Nokia,Nokia-Yb85,Android,2
IMEI_000000000000290,3580-REOAC,Samsung,Samsung-cJ24,Android,2
IMEI_000000000000291,7534-BFESC,Nokia,Nokia-ol05,Android,1
IMEI_000000000000292,3727-OWVYD,Nokia,Nokia-wO51,Android,2
IMEI_000000000000293,2294-SALNE,Apple,Apple-dE49,iOS,2
IMEI_000000000000294,4847-TAJYI,Apple,Apple-IC20,iOS,1
IMEI_000000000000295,1563-IWQEX,Oppo,Oppo-HG38,Android,2
IMEI_000000000000296,8203-XJZRC,Huawei,Huawei-VO10,Android,2
IMEI_000000000000297,6556-DBKZF,Huawei,Huawei-Ii94,Android,1
IMEI_000000000000298,6851-WEFYX,Nokia,Nokia-oV60,Android,2
IMEI_000000000000299,2985-JUUBZ,Apple,Apple-Vp83,iOS,2
IMEI_000000000000300,6390-DSAZX,Huawei,Huawei-jY35,Android,1
IMEI_000000000000301,0895-LMRSF,Huawei,Huawei-WH57,Android,2
IMEI_000000000000302,8098-LLAZX,Apple,Apple-cl30,iOS,1
IMEI_000000000000303,8266-VBFQL,Apple,Apple-qP62,iOS,2
IMEI_000000000000304,8181-YHCMF,Oppo,Oppo-Jq90,Android,1
IMEI_000000000000305,2240-HSJQD,Oppo,Oppo-lk42,Android,2
IMEI_000000000000306,1248-DYXUB,Samsung,Samsung-YE15,Android,1
IMEI_000000000000307,0265-EDXBD,Huawei,Huawei-XI45,Android,2
IMEI_000000000000308,4115-BNPJY,Oppo,Oppo-Nt92,Android,1
IMEI_000000000000309,3167-SNQPL,Xiaomi,Xiaomi-FM77,Android,2
IMEI_000000000000310,4091-TVOCN,Huawei,Huawei-tf23,Android,2
IMEI_000000000000311,1098-TDVUQ,Apple,Apple-QO56,iOS,2
IMEI_000000000000312,7277-OZCGZ,Oppo,Oppo-La39,Android,1
IMEI_000000000000313,1557-EMYVT,Xiaomi,Xiaomi-VS17,Android,1
IMEI_000000000000314,2799-ARNLO,Nokia,Nokia-pm60,Android,1
IMEI_000000000000315,7563-BIUPC,Nokia,Nokia-ts83,Android,2
IMEI_000000000000316,5027-YOCXN,Nokia,Nokia-GC36,Android,1
IMEI_000000000000317,3973-SKMLN,Huawei,Huawei-hY35,Android,2
IMEI_000000000000318,2321-OMBXY,Huawei,Huawei-Ey96,Android,1
IMEI_000000000000319,2840-XANRC,Nokia,Nokia-Ws34,Android,1
IMEI_000000000000320,6745-JEFZB,Samsung,Samsung-lV90,Android,2
IMEI_000000000000321,5020-ZSTTY,Oppo,Oppo-Ew07,Android,2
IMEI_000000000000322,9880-TDQAC,Nokia,Nokia-BL26,Android,2
IMEI_000000000000323,8705-WZCYL,Huawei,Huawei-tm89,Android,2
IMEI_000000000000324,7102-JJVTX,Apple,Apple-wJ14,iOS,2
IMEI_000000000000325,8626-PTQGE,Samsung,Samsung-UJ46,Android,1
IMEI_000000000000326,4983-CLMLV,Oppo,Oppo-ii92,Android,2
IMEI_000000000000327,5701-YVSVF,Huawei,Huawei-Gy76,Android,1
IMEI_000000000000328,5804-LEPIM,Oppo,Oppo-tC46,Android,2
IMEI_000000000000329,5697-GOMBF,Nokia,Nokia-YK31,Android,2
IMEI_000000000000330,2739-CACDQ,Nokia,Nokia-qP64,Android,1
IMEI_000000000000331,9385-EHGDO,Oppo,Oppo-BK75,Android,1
IMEI_000000000000332,9498-FIMXL,Nokia,Nokia-kQ70,Android,2
IMEI_000000000000333,2379-GYFLQ,Samsung,Samsung-yw95,Android,2
IMEI_000000000000334,0122-OAHPZ,Nokia,Nokia-Ec18,Android,1
IMEI_000000000000335,2868-SNELZ,Oppo,Oppo-Uy93,Android,2
IMEI_000000000000336,4322-RCYMT,Samsung,Samsung-Vy48,Android,1
IMEI_000000000000337,6680-NENYN,Apple,Apple-fs76,iOS,2
IMEI_000000000000338,2088-IEBAU,Samsung,Samsung-Cn55,Android,2
IMEI_000000000000339,7982-VCELR,Oppo,Oppo-Cl85,Android,1
IMEI_000000000000340,1343-EHPYB,Nokia,Nokia-PD94,Android,1
IMEI_000000000000341,6035-BXTTY,Xiaomi,Xiaomi-ft18,Android,2
IMEI_000000000000342,6885-PKOAM,Samsung,Samsung-AY16,Android,2
IMEI_000000000000343,7520-HQWJU,Samsung,Samsung-Pn34,Android,2
IMEI_000000000000344,9639-BUJXT,Oppo,Oppo-Sj60,Android,1
IMEI_000000000000345,5924-SNGKP,Oppo,Oppo-Ym49,Android,2
IMEI_000000000000346,0021-IKXGC,Xiaomi,Xiaomi-OM38,Android,1
IMEI_000000000000347,2034-GDRCN,Huawei,Huawei-Ru79,Android,1
IMEI_000000000000348,8966-SNIZF,Apple,Apple-kq57,iOS,1
IMEI_000000000000349,6243-OZGFH,Oppo,Oppo-Vw42,Android,2
IMEI_000000000000350,4654-DLAMQ,Huawei,Huawei-Sw90,Android,1
IMEI_000000000000351,0513-RBGPE,Samsung,Samsung-FX31,Android,1
