complaint_id,customer_id,tower_id,complaint_type,status,resolution_days,complaint_date
COMP_00034,8043-PNYSD,TOWER_021,Billing Error,Escalated,25,2025-05-19
COMP_00035,3235-ETOOB,TOWER_024,SIM Issue,Resolved,14,2025-06-06
COMP_00036,9480-BQJEI,TOWER_024,Network Outage,Open,10,2025-08-03
COMP_00037,5940-AHUHD,TOWER_012,Billing Error,Open,7,2026-03-22
COMP_00038,6464-KEXXH,TOWER_048,Network Outage,Resolved,9,2025-09-29
COMP_00039,7228-OMTPN,TOWER_043,Network Outage,Escalated,11,2026-04-23
COMP_00040,4160-AMJTL,TOWER_044,Slow Data,Escalated,32,2026-04-27
COMP_00041,8429-XIBUM,TOWER_002,Slow Data,Escalated,13,2025-10-04
COMP_00042,1985-MBRYP,TOWER_047,Call Drop,Escalated,34,2025-07-02
COMP_00043,9944-HKVVB,TOWER_025,SIM Issue,Escalated,24,2025-09-10
COMP_00044,5453-YBTWV,TOWER_027,SIM Issue,Resolved,9,2026-01-01
COMP_00045,5842-POCOP,TOWER_004,Call Drop,Resolved,27,2026-04-21
COMP_00046,5931-FLJJF,TOWER_011,Call Drop,Open,35,2025-09-15
COMP_00047,0348-SDKOL,TOWER_010,Slow Data,Escalated,22,2025-05-12
COMP_00048,5451-YHYPW,TOWER_039,SIM Issue,Open,31,2025-06-24
COMP_00049,2799-TSLAG,TOWER_002,SIM Issue,Open,3,2025-06-12
COMP_00050,0841-NULXI,TOWER_001,Billing Error,Escalated,4,2025-10-30
COMP_00051,3387-VATUS,TOWER_044,Slow Data,Escalated,44,2025-10-29
COMP_00052,9025-ZRPVR,TOWER_002,Slow Data,Resolved,1,2026-04-22
COMP_00053,8861-HGGKB,TOWER_044,Call Drop,Resolved,30,2025-08-30
COMP_00054,1522-VVDMG,TOWER_016,Network Outage,Resolved,27,2025-09-14
COMP_00055,9824-BEMCV,TOWER_013,Billing Error,Escalated,27,2025-06-03
COMP_00056,2320-YKQBO,TOWER_022,Slow Data,Open,8,2025-07-16
COMP_00057,2002-MZHWP,TOWER_001,Network Outage,Escalated,37,2026-04-16
COMP_00058,4979-HPRFL,TOWER_031,Network Outage,Resolved,12,2025-11-20
COMP_00059,3803-KMQFW,TOWER_048,Network Outage,Resolved,21,2026-04-25
COMP_00060,8740-XLHDR,TOWER_005,Network Outage,Resolved,31,2025-06-29
COMP_00061,2919-HBCJO,TOWER_036,Call Drop,Resolved,26,2025-04-29
COMP_00062,6646-VRFOL,TOWER_014,Slow Data,Resolved,17,2025-09-10
COMP_00063,8485-GJCDN,TOWER_015,Billing Error,Escalated,14,2025-09-25
COMP_00064,1374-DMZUI,TOWER_032,Call Drop,Open,24,2025-07-26
COMP_00065,9388-ZEYVT,TOWER_048,Network Outage,Resolved,13,2025-08-26
COMP_00066,3551-HUAZH,TOWER_026,SIM Issue,Escalated,13,2025-06-30
COMP_00067,0461-CVKMU,TOWER_011,SIM Issue,Escalated,4,2025-06-03
COMP_00068,5167-ZFFMM,TOWER_040,Slow Data,Escalated,31,2025-06-26
COMP_00069,4847-QNOKA,TOWER_020,Slow Data,Resolved,43,2025-12-18
COMP_00070,1573-LGXBA,TOWER_044,Network Outage,Escalated,29,2025-11-17
COMP_00071,5196-SGOAK,TOWER_008,Slow Data,Resolved,14,2025-06-12
COMP_00072,0206-TBWLC,TOWER_046,SIM Issue,Escalated,3,2026-04-01
COMP_00073,9250-WYPLL,TOWER_025,Call Drop,Open,17,2025-06-20
COMP_00074,2446-BEGGB,TOWER_020,Network Outage,Open,20,2025-07-28
COMP_00075,9885-CSMWE,TOWER_024,SIM Issue,Open,21,2025-10-23
COMP_00076,6615-NGGZJ,TOWER_003,Slow Data,Open,13,2025-05-28
COMP_00077,0883-EIBTI,TOWER_028,Call Drop,Resolved,43,2025-11-17
COMP_00078,6121-VZNQB,TOWER_006,Network Outage,Open,40,2025-06-15
COMP_00079,3319-DWOEP,TOWER_008,SIM Issue,Resolved,23,2026-03-04
COMP_00080,4471-KXAUH,TOWER_010,Billing Error,Resolved,15,2025-08-12
COMP_00081,2725-KXXWT,TOWER_049,SIM Issue,Open,14,2025-06-22
COMP_00082,5442-XSDCW,TOWER_005,SIM Issue,Resolved,37,2025-08-25
COMP_00083,6212-ATMLK,TOWER_004,Network Outage,Open,16,2026-01-05
COMP_00084,0363-SVHYR,TOWER_005,Slow Data,Resolved,44,2025-09-01
COMP_00085,1452-VOQCH,TOWER_022,Call Drop,Open,10,2026-02-27
COMP_00086,8917-SZTTJ,TOWER_019,SIM Issue,Resolved,6,2025-09-28
COMP_00087,4844-JJWUY,TOWER_038,Network Outage,Escalated,17,2026-01-25
COMP_00088,7120-RFMVS,TOWER_007,Billing Error,Resolved,45,2026-03-01
COMP_00089,7209-JCUDS,TOWER_043,Billing Error,Open,6,2025-09-23
COMP_00090,9158-VCTQB,TOWER_024,Billing Error,Resolved,14,2026-02-19
COMP_00091,9053-EJUNL,TOWER_011,Call Drop,Resolved,11,2026-01-26
COMP_00092,1334-FJSVR,TOWER_007,Billing Error,Open,40,2025-07-02
COMP_00093,6797-LNAQX,TOWER_022,Network Outage,Escalated,26,2025-11-16
COMP_00094,9136-ALYBR,TOWER_004,Slow Data,Resolved,34,2025-11-10
COMP_00095,7088-FBAWU,TOWER_023,Call Drop,Resolved,36,2026-03-26
COMP_00096,4324-AHJKS,TOWER_048,Slow Data,Escalated,15,2026-01-31
COMP_00097,6158-DWPZT,TOWER_050,Slow Data,Escalated,31,2025-07-16
COMP_00098,8543-MSDMF,TOWER_035,Call Drop,Escalated,18,2026-02-13
COMP_00099,7534-BFESC,TOWER_024,Network Outage,Escalated,27,2025-11-09
COMP_00100,3230-JCNZS,TOWER_006,SIM Issue,Escalated,33,2026-03-05
COMP_00101,8988-ECPJR,TOWER_010,Network Outage,Resolved,24,2025-08-04
COMP_00102,2748-MYRVK,TOWER_034,Network Outage,Escalated,3,2025-11-13
COMP_00103,6688-UZPWD,TOWER_043,Network Outage,Resolved,32,2026-03-06
COMP_00104,5884-GCYMI,TOWER_017,Billing Error,Escalated,12,2025-07-26
COMP_00105,1934-SJVJK,TOWER_020,SIM Issue,Escalated,23,2025-09-13
COMP_00106,8816-VXNZD,TOWER_027,Billing Error,Resolved,30,2025-07-26
COMP_00107,9444-JTXHZ,TOWER_015,Slow Data,Open,1,2025-05-07
COMP_00108,0374-AACSZ,TOWER_039,Slow Data,Open,43,2025-10-20
COMP_00109,4607-CHPCA,TOWER_024,SIM Issue,Open,42,2025-08-24
COMP_00110,7016-BPGEU,TOWER_019,SIM Issue,Open,38,2026-03-24
COMP_00111,2439-LYPMQ,TOWER_040,Billing Error,Open,43,2025-05-26
COMP_00112,6585-WCEWR,TOWER_025,Network Outage,Escalated,2,2025-05-14
COMP_00113,9381-NDKME,TOWER_014,Slow Data,Open,10,2025-05-28
COMP_00114,4074-SJFFA,TOWER_001,Network Outage,Resolved,40,2026-03-28
COMP_00115,7826-VVKWT,TOWER_013,Network Outage,Resolved,18,2026-04-09
COMP_00116,7245-JMTTQ,TOWER_046,Slow Data,Open,29,2025-08-04
COMP_00117,8949-JTMAY,TOWER_015,Network Outage,Open,19,2026-03-16
COMP_00118,0722-TROQR,TOWER_013,Call Drop,Resolved,33,2025-10-19
COMP_00119,9950-MTGYX,TOWER_011,Call Drop,Open,2,2025-12-15
COMP_00120,5047-LHVLY,TOWER_050,SIM Issue,Escalated,32,2025-08-22
COMP_00121,7434-SHXLS,TOWER_049,Billing Error,Resolved,36,2025-11-10
COMP_00122,0829-DDVLK,TOWER_047,Call Drop,Escalated,33,2025-05-31
COMP_00123,3799-ISUZQ,TOWER_041,Slow Data,Resolved,3,2025-05-29
COMP_00124,8123-QBNAZ,TOWER_030,Slow Data,Escalated,34,2025-12-07
COMP_00125,3014-WJKSM,TOWER_016,Network Outage,Resolved,34,2026-02-10
COMP_00126,2202-OUTMO,TOWER_032,Billing Error,Open,45,2026-03-22
COMP_00127,1029-QFBEN,TOWER_014,Call Drop,Open,12,2026-04-27
COMP_00128,6967-PEJLL,TOWER_029,Billing Error,Resolved,31,2025-08-02
COMP_00129,0679-IDSTG,TOWER_032,Slow Data,Open,40,2025-07-17
COMP_00130,8550-XSXUQ,TOWER_039,Call Drop,Escalated,25,2025-08-07
COMP_00131,6259-WJQLC,TOWER_018,Billing Error,Escalated,28,2025-08-23
COMP_00132,6821-BUXUX,TOWER_003,SIM Issue,Escalated,19,2025-07-02
COMP_00133,4250-ZBWLV,TOWER_045,Billing Error,Escalated,21,2025-06-18
COMP_00134,8840-DQLGN,TOWER_037,Call Drop,Escalated,18,2025-05-12
COMP_00135,4682-BLBUC,TOWER_024,Call Drop,Escalated,6,2025-06-12
COMP_00136,2676-SSLTO,TOWER_019,SIM Issue,Resolved,9,2026-03-11
COMP_00137,7216-EWTRS,TOWER_033,Slow Data,Escalated,45,2025-11-02
COMP_00138,0823-HSCDJ,TOWER_007,Billing Error,Open,39,2025-07-23
COMP_00139,6637-KYRCV,TOWER_045,Call Drop,Open,38,2026-04-20
COMP_00140,2778-OCLGR,TOWER_028,SIM Issue,Open,4,2026-03-31
COMP_00141,7137-RYLPP,TOWER_032,Call Drop,Resolved,36,2025-10-10
COMP_00142,5208-FVQKB,TOWER_006,Call Drop,Resolved,36,2026-03-09
COMP_00143,0732-OCQOC,TOWER_032,Billing Error,Resolved,38,2025-08-29
COMP_00144,6240-EURKS,TOWER_036,Billing Error,Resolved,6,2025-05-06
COMP_00145,6142-VSJQO,TOWER_029,Call Drop,Resolved,26,2025-12-02
COMP_00146,5229-PRWKT,TOWER_001,Billing Error,Resolved,39,2025-07-02
COMP_00147,1157-BQCUW,TOWER_048,Call Drop,Resolved,39,2026-03-11
COMP_00148,7989-CHGTL,TOWER_012,Network Outage,Escalated,16,2026-04-18
COMP_00149,3547-LQRIK,TOWER_012,Slow Data,Open,16,2025-10-26
COMP_00150,5649-VUKMC,TOWER_015,Billing Error,Open,16,2025-10-09
COMP_00151,4855-SNKMY,TOWER_047,SIM Issue,Resolved,14,2025-05-07
COMP_00152,6356-ELRKD,TOWER_028,SIM Issue,Open,31,2025-06-29
COMP_00153,0137-UDEUO,TOWER_049,Billing Error,Escalated,13,2025-06-28
COMP_00154,3549-ZTMNH,TOWER_018,Slow Data,Open,2,2026-04-21
COMP_00155,0137-UDEUO,TOWER_015,Billing Error,Open,3,2025-06-28
COMP_00156,6769-DYBQN,TOWER_047,Network Outage,Resolved,30,2025-11-21
COMP_00157,2003-CKLOR,TOWER_022,Call Drop,Open,39,2025-06-23
COMP_00158,5832-TRLPB,TOWER_027,Network Outage,Resolved,41,2025-10-29
COMP_00159,7893-IXHRQ,TOWER_036,Network Outage,Escalated,32,2025-08-19
COMP_00160,7812-FZHPE,TOWER_019,SIM Issue,Resolved,21,2025-08-24
COMP_00161,5712-AHQNN,TOWER_019,Network Outage,Resolved,8,2026-03-17
COMP_00162,3254-YRILK,TOWER_012,Call Drop,Escalated,2,2026-02-10
COMP_00163,2055-BFOCC,TOWER_015,Billing Error,Open,13,2026-01-14
COMP_00164,1236-WFCDV,TOWER_037,Network Outage,Resolved,44,2025-06-12
COMP_00165,9878-TNQGW,TOWER_023,Network Outage,Escalated,31,2025-12-22
COMP_00166,3945-GFWQL,TOWER_033,Billing Error,Escalated,3,2025-10-19
COMP_00167,4942-VZZOM,TOWER_031,SIM Issue,Resolved,8,2025-08-09
COMP_00168,2469-DTSGX,TOWER_029,SIM Issue,Resolved,12,2025-11-23
COMP_00169,2348-KCJLT,TOWER_017,SIM Issue,Open,8,2026-02-20
COMP_00170,7479-NITWS,TOWER_011,Slow Data,Open,29,2025-06-11
COMP_00171,3007-FDPEA,TOWER_024,Network Outage,Escalated,16,2025-11-20
COMP_00172,8183-ONMXC,TOWER_030,Billing Error,Resolved,14,2026-01-20
COMP_00173,2725-KXXWT,TOWER_025,Network Outage,Resolved,30,2026-03-26
COMP_00174,4616-ULAOA,TOWER_007,Billing Error,Resolved,25,2026-01-23
COMP_00175,3594-IVHJZ,TOWER_044,Call Drop,Escalated,16,2025-09-27
COMP_00176,2674-MLXMN,TOWER_041,Slow Data,Resolved,38,2025-12-25
COMP_00177,7321-PKUYW,TOWER_001,Slow Data,Escalated,17,2025-10-01
COMP_00178,6023-GSSXW,TOWER_044,SIM Issue,Open,9,2025-06-10
COMP_00179,9866-QEVEE,TOWER_037,Call Drop,Escalated,4,2025-12-30
COMP_00180,9025-AOMKI,TOWER_031,Slow Data,Escalated,27,2026-04-15
COMP_00181,8861-HGGKB,TOWER_037,Slow Data,Escalated,37,2026-02-16
COMP_00182,5393-RXQSZ,TOWER_031,SIM Issue,Escalated,32,2025-06-17
COMP_00183,1724-BQUHA,TOWER_029,Slow Data,Escalated,3,2025-08-13
COMP_00184,5276-KQWHG,TOWER_011,Call Drop,Open,20,2026-02-06
COMP_00185,9480-BQJEI,TOWER_047,Billing Error,Escalated,41,2025-09-17
COMP_00186,5649-TJHOV,TOWER_026,Call Drop,Open,42,2026-03-25
COMP_00187,7209-JCUDS,TOWER_029,Slow Data,Open,40,2026-03-14
COMP_00188,9944-HKVVB,TOWER_006,Network Outage,Escalated,24,2025-11-08
COMP_00189,9600-UDOPK,TOWER_001,Network Outage,Escalated,36,2025-10-01
COMP_00190,3932-CMDTD,TOWER_023,Call Drop,Open,2,2025-05-02
COMP_00191,3096-WPXBT,TOWER_043,Network Outage,Open,19,2025-08-17
COMP_00192,9812-GHVRI,TOWER_048,Slow Data,Escalated,25,2026-03-30
COMP_00193,4822-NGOCH,TOWER_011,Billing Error,Resolved,39,2025-06-10
COMP_00194,2856-HYAPG,TOWER_034,Slow Data,Escalated,20,2025-12-19
COMP_00195,6543-CPZMK,TOWER_043,SIM Issue,Open,24,2025-12-09
COMP_00196,0343-QLUZP,TOWER_046,Slow Data,Resolved,17,2025-05-24
COMP_00197,3419-SNJJD,TOWER_031,Network Outage,Escalated,45,2025-09-23
COMP_00198,3806-DXQOM,TOWER_018,Slow Data,Escalated,24,2026-02-02
COMP_00199,3696-DFHHB,TOWER_017,Call Drop,Open,39,2026-04-15
COMP_00200,4735-ASGMA,TOWER_041,SIM Issue,Escalated,42,2025-08-14
COMP_00201,6908-VVYHM,TOWER_021,Billing Error,Open,7,2026-03-26
COMP_00202,8816-VXNZD,TOWER_003,Network Outage,Resolved,16,2026-02-15
COMP_00203,0691-IFBQW,TOWER_007,Network Outage,Resolved,7,2025-07-20
COMP_00204,9625-QSTYE,TOWER_005,Slow Data,Open,8,2026-02-01
COMP_00205,5906-CVLHP,TOWER_032,Network Outage,Escalated,15,2025-11-19
COMP_00206,8806-EAGWC,TOWER_022,Call Drop,Open,21,2026-03-27
COMP_00207,4568-KNYWR,TOWER_025,Slow Data,Open,42,2025-10-22
COMP_00208,4786-UKSNZ,TOWER_049,SIM Issue,Resolved,19,2025-05-23
COMP_00209,3389-YGYAI,TOWER_036,SIM Issue,Escalated,32,2026-02-16
COMP_00210,8718-PTMEZ,TOWER_031,Call Drop,Escalated,28,2025-06-04
COMP_00211,2114-MGINA,TOWER_017,Billing Error,Resolved,9,2025-06-05
COMP_00212,4124-MMETB,TOWER_022,Call Drop,Open,1,2026-01-14
COMP_00213,9210-IAHGH,TOWER_047,Billing Error,Escalated,17,2025-06-25
COMP_00214,0236-HFWSV,TOWER_030,Billing Error,Open,20,2025-10-15
COMP_00215,3320-VEOYC,TOWER_050,Network Outage,Escalated,3,2026-03-31
COMP_00216,1264-FUHCX,TOWER_050,Slow Data,Open,3,2026-04-18
COMP_00217,2636-ALXXZ,TOWER_025,Call Drop,Resolved,13,2025-08-16
COMP_00218,2272-QAGFO,TOWER_018,Billing Error,Open,26,2026-03-23
COMP_00219,9802-CAQUT,TOWER_019,Billing Error,Resolved,1,2026-02-04
COMP_00220,4816-JBHOV,TOWER_045,Billing Error,Escalated,37,2025-12-31
COMP_00221,7216-EWTRS,TOWER_022,Network Outage,Resolved,3,2026-04-21
COMP_00222,3890-RTCMS,TOWER_048,Network Outage,Open,8,2025-09-30
COMP_00223,9089-UOWJG,TOWER_017,Billing Error,Resolved,33,2026-03-20
COMP_00224,2632-UCGVD,TOWER_033,Slow Data,Open,36,2025-09-24
COMP_00225,0280-XJGEX,TOWER_043,Call Drop,Escalated,19,2025-05-14
COMP_00226,3445-HXXGF,TOWER_008,Billing Error,Resolved,28,2025-09-27
COMP_00227,3757-NJYBX,TOWER_035,Billing Error,Resolved,22,2025-11-26
COMP_00228,3336-JORSO,TOWER_019,SIM Issue,Resolved,21,2025-11-14
COMP_00229,0281-CNTZX,TOWER_001,Billing Error,Resolved,33,2025-12-28
COMP_00230,4412-YLTKF,TOWER_003,Billing Error,Escalated,5,2026-03-23
COMP_00231,2082-CEFLT,TOWER_035,Network Outage,Escalated,31,2025-05-17
COMP_00232,7530-HDYDS,TOWER_017,SIM Issue,Resolved,28,2026-01-07
COMP_00233,1120-BMWUB,TOWER_031,Call Drop,Open,34,2025-11-17
COMP_00234,3470-OBUET,TOWER_044,Slow Data,Open,21,2025-11-02
COMP_00235,9256-JTBNZ,TOWER_018,Call Drop,Resolved,44,2025-11-30
COMP_00236,8058-JMEQO,TOWER_034,Network Outage,Escalated,37,2026-03-25
COMP_00237,0468-YRPXN,TOWER_006,SIM Issue,Escalated,8,2025-05-08
COMP_00238,4690-LLKUA,TOWER_026,Slow Data,Open,27,2025-07-20
COMP_00239,4567-AKPIA,TOWER_026,Call Drop,Open,29,2025-12-21
COMP_00240,2040-VZIKE,TOWER_020,Call Drop,Escalated,13,2026-01-16
COMP_00241,4750-ZRXIU,TOWER_050,Slow Data,Escalated,29,2025-12-20
COMP_00242,1442-OKRJE,TOWER_020,Network Outage,Resolved,40,2025-05-29
COMP_00243,9305-CDSKC,TOWER_025,SIM Issue,Resolved,38,2025-09-25
COMP_00244,0375-HVGXO,TOWER_006,Slow Data,Escalated,16,2025-11-03
COMP_00245,2692-PFYTJ,TOWER_039,Billing Error,Open,23,2026-04-14
COMP_00246,1689-MRZQR,TOWER_007,Billing Error,Resolved,20,2025-08-04
COMP_00247,0661-KBKPA,TOWER_032,Network Outage,Escalated,12,2025-10-01
COMP_00248,5337-IIWKZ,TOWER_048,Slow Data,Escalated,20,2025-07-10
COMP_00249,6261-RCVNS,TOWER_024,Slow Data,Escalated,18,2026-04-10
COMP_00250,6543-XRMYR,TOWER_021,Network Outage,Open,1,2025-12-31
COMP_00251,2860-RANUS,TOWER_013,Billing Error,Resolved,18,2026-01-26
COMP_00252,5908-QMGOE,TOWER_012,SIM Issue,Resolved,41,2025-12-21
COMP_00253,0516-VRYBW,TOWER_030,Billing Error,Escalated,22,2025-09-23
COMP_00254,4873-ILOLJ,TOWER_021,Network Outage,Escalated,26,2025-10-27
COMP_00255,3948-XHGNA,TOWER_016,SIM Issue,Open,42,2025-07-15
COMP_00256,6292-TOSSS,TOWER_046,Billing Error,Open,18,2025-09-20
COMP_00257,3419-SNJJD,TOWER_041,Call Drop,Resolved,31,2025-08-22
COMP_00258,8565-CLBZW,TOWER_040,SIM Issue,Escalated,23,2026-01-28
COMP_00259,2608-BHKFN,TOWER_049,Call Drop,Resolved,1,2025-06-07
COMP_00260,3470-BTGQO,TOWER_021,Network Outage,Escalated,33,2025-05-11
COMP_00261,6275-YDUVO,TOWER_003,Billing Error,Escalated,19,2025-05-07
COMP_00262,3158-MOERK,TOWER_002,Call Drop,Resolved,41,2026-04-08
COMP_00263,9796-MVYXX,TOWER_016,Call Drop,Resolved,6,2025-05-10
COMP_00264,8612-GXIDD,TOWER_005,SIM Issue,Escalated,35,2025-05-16
COMP_00265,1567-DSCIC,TOWER_049,Network Outage,Resolved,16,2026-04-03
COMP_00266,2958-NHPPS,TOWER_036,Billing Error,Resolved,22,2025-09-17
COMP_00267,9089-UOWJG,TOWER_031,Network Outage,Escalated,19,2025-11-19
COMP_00268,5876-HZVZM,TOWER_016,Network Outage,Resolved,39,2025-07-25
COMP_00269,2856-NNASM,TOWER_028,SIM Issue,Resolved,3,2025-07-06
COMP_00270,7841-TZDMQ,TOWER_005,SIM Issue,Escalated,27,2026-02-10
COMP_00271,9741-YLNTD,TOWER_009,Billing Error,Open,27,2025-11-29
COMP_00272,2400-XIWIO,TOWER_017,Slow Data,Open,4,2025-12-30
COMP_00273,9558-IHEZX,TOWER_031,Network Outage,Escalated,39,2026-01-28
COMP_00274,9073-ZZIAY,TOWER_030,Network Outage,Escalated,10,2025-11-08
COMP_00275,5172-MIGPM,TOWER_015,Network Outage,Open,6,2026-03-23
COMP_00276,3677-IYRBF,TOWER_019,Slow Data,Resolved,25,2026-01-30
COMP_00277,3550-SAHFP,TOWER_022,Call Drop,Open,6,2026-01-29
COMP_00278,8510-TMWYB,TOWER_016,Slow Data,Escalated,26,2026-01-22
COMP_00279,6906-ANDWJ,TOWER_003,Network Outage,Escalated,15,2025-08-10
COMP_00280,6959-UWKHF,TOWER_036,Network Outage,Escalated,30,2025-10-13
COMP_00281,6015-VVHHE,TOWER_013,Billing Error,Resolved,38,2025-07-02
COMP_00282,7075-BNDVQ,TOWER_024,Slow Data,Resolved,40,2025-08-29
COMP_00283,9386-LDCZR,TOWER_041,SIM Issue,Resolved,6,2025-12-14
COMP_00284,6437-UKHMV,TOWER_028,SIM Issue,Resolved,20,2025-12-30
COMP_00285,4283-FUTGF,TOWER_019,Call Drop,Resolved,21,2026-02-02
COMP_00286,6168-WFVVF,TOWER_033,Call Drop,Escalated,45,2025-07-22
COMP_00287,6979-ZNSFF,TOWER_020,Network Outage,Resolved,32,2025-07-17
COMP_00288,9019-QVLZD,TOWER_031,Call Drop,Escalated,12,2025-12-10
COMP_00289,1926-QUZNN,TOWER_031,Billing Error,Escalated,23,2025-07-16
COMP_00290,2309-OSFEU,TOWER_046,Billing Error,Open,31,2025-08-09
COMP_00291,5835-BEQEU,TOWER_004,Slow Data,Open,33,2026-02-08
COMP_00292,9369-XFEHK,TOWER_038,Slow Data,Escalated,23,2025-09-15
COMP_00293,8348-JLBUG,TOWER_038,Call Drop,Open,22,2025-09-23
COMP_00294,5565-FILXA,TOWER_024,Call Drop,Open,14,2026-03-20
COMP_00295,1980-KXVPM,TOWER_006,Network Outage,Resolved,44,2025-07-09
COMP_00296,9851-KIELU,TOWER_001,Network Outage,Open,12,2025-08-10
COMP_00297,0495-ZBNGW,TOWER_025,Slow Data,Open,28,2026-01-03
COMP_00298,3096-JRDSO,TOWER_005,Call Drop,Escalated,29,2025-05-05
COMP_00299,6397-JNZZG,TOWER_004,Network Outage,Resolved,17,2026-01-05
COMP_00300,6424-ELEYH,TOWER_032,Call Drop,Resolved,34,2026-01-19
COMP_00301,3957-SQXML,TOWER_007,Call Drop,Escalated,21,2025-08-27
COMP_00302,2754-VDLTR,TOWER_049,Billing Error,Resolved,13,2025-12-09
COMP_00303,6479-VDGRK,TOWER_038,SIM Issue,Resolved,27,2025-08-23
COMP_00304,3677-TNKIO,TOWER_045,Billing Error,Resolved,42,2026-04-22
COMP_00305,7856-GANIL,TOWER_005,Billing Error,Resolved,37,2025-12-09
COMP_00306,3092-IGHWF,TOWER_018,Slow Data,Escalated,2,2026-01-27
COMP_00307,8063-RJYNF,TOWER_017,Call Drop,Escalated,32,2025-11-07
COMP_00308,6599-RCLCJ,TOWER_002,Billing Error,Open,36,2026-02-02
COMP_00309,1740-CSDJP,TOWER_038,Billing Error,Resolved,27,2025-06-28
COMP_00310,3351-NQLDI,TOWER_026,Billing Error,Resolved,15,2025-12-22
COMP_00311,0345-HKJVM,TOWER_047,Slow Data,Open,23,2026-03-08
COMP_00312,2990-HWIML,TOWER_025,SIM Issue,Escalated,41,2025-08-31
COMP_00313,3874-EQOEP,TOWER_010,SIM Issue,Escalated,21,2026-01-23
COMP_00314,5244-IRFIH,TOWER_028,Call Drop,Resolved,42,2025-11-15
COMP_00315,3842-IYKUE,TOWER_046,Network Outage,Resolved,40,2025-09-28
COMP_00316,0363-SVHYR,TOWER_030,Billing Error,Open,19,2025-05-02
COMP_00317,2251-PYLPB,TOWER_045,Slow Data,Open,9,2026-04-23
COMP_00318,0137-UDEUO,TOWER_048,Call Drop,Resolved,2,2025-08-21
COMP_00319,6047-YHPVI,TOWER_036,Network Outage,Escalated,44,2025-05-18
COMP_00320,5712-VBOXD,TOWER_013,Slow Data,Escalated,21,2025-07-21
COMP_00321,0265-EDXBD,TOWER_033,Network Outage,Resolved,44,2025-10-02
COMP_00322,5028-GZLDO,TOWER_007,Network Outage,Resolved,34,2025-07-01
COMP_00323,9063-ZGTUY,TOWER_012,Billing Error,Open,13,2026-02-09
COMP_00324,7564-GHCVB,TOWER_043,Slow Data,Open,20,2026-03-21
COMP_00325,1024-GUALD,TOWER_011,Call Drop,Escalated,12,2025-10-06
COMP_00326,1980-KXVPM,TOWER_027,Network Outage,Open,6,2025-05-26
